"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3938","should clear state when logout action is dispatched","redux store","Tue Dec 23 01:00:55 UTC 2025","passed","Tue Dec 23 01:00:59 UTC 2025","","","",""
"Test cases for TestMarshalBool","0","TestMarshalBool","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalBool","TestMarshalBool"
"","97","displays the value thats passed via children","CodeController","Tue Dec 23 00:59:36 UTC 2025","passed","Tue Dec 23 00:59:36 UTC 2025","","","",""
"","1200","should display all available SSO providers","CreateUserDialog","Tue Dec 23 00:56:22 UTC 2025","passed","Tue Dec 23 00:56:24 UTC 2025","","","",""
"Test cases for TestResources_ListAssetGroups","0","TestResources_ListAssetGroups","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAssetGroups","TestResources_ListAssetGroups"
"Test cases for TestGetPageParamsForGraphQuery","0","TestGetPageParamsForGraphQuery","","Tue Dec 23 00:55:07 UTC 2025","passed","Tue Dec 23 00:55:07 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGetPageParamsForGraphQuery","TestGetPageParamsForGraphQuery"
"","67","clicking a disabled header does not toggle content","<DetailsAccordion />","Tue Dec 23 00:56:39 UTC 2025","passed","Tue Dec 23 00:56:39 UTC 2025","","","",""
"Test cases for TestManagementResource_DeleteUser_GetUserError","0","TestManagementResource_DeleteUser_GetUserError","","Tue Dec 23 00:55:16 UTC 2025","passed","Tue Dec 23 00:55:16 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteUser_GetUserError","TestManagementResource_DeleteUser_GetUserError"
"Test cases for TestParseLimitQueryParameter_Invalid","0","TestParseLimitQueryParameter_Invalid","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseLimitQueryParameter_Invalid","TestParseLimitQueryParameter_Invalid"
"Test cases for TestParseOptionalBool","0","TestParseOptionalBool","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestParseOptionalBool","TestParseOptionalBool"
"Test cases for TestConvertDomainToNode_DomainInvalidProperties","1","TestConvertDomainToNode_DomainInvalidProperties","","Tue Dec 23 00:55:11 UTC 2025","passed","Tue Dec 23 00:55:11 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertDomainToNode_DomainInvalidProperties","TestConvertDomainToNode_DomainInvalidProperties"
"","122","buttons are disabled while loading","OneTimePasscodeForm","Tue Dec 23 00:59:07 UTC 2025","passed","Tue Dec 23 00:59:07 UTC 2025","","","",""
"Test cases for TestRoleMembers","1","TestRoleMembers","","Tue Dec 23 00:55:11 UTC 2025","passed","Tue Dec 23 00:55:11 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/azure/TestRoleMembers","TestRoleMembers"
"Test cases for TestAuth_CreateSSOSession","1","TestAuth_CreateSSOSession","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestAuth_CreateSSOSession","TestAuth_CreateSSOSession"
"","188","renders with a title","BloodHoundConfiguration","Tue Dec 23 01:01:06 UTC 2025","passed","Tue Dec 23 01:01:06 UTC 2025","","","",""
"","943","open and closes dialog","DatabaseManagement","Tue Dec 23 01:00:32 UTC 2025","passed","Tue Dec 23 01:00:33 UTC 2025","","","",""
"","248","fires click handlers","ConfirmDeleteQueryDialog","Tue Dec 23 00:59:44 UTC 2025","passed","Tue Dec 23 00:59:45 UTC 2025","","","",""
"","8","applies animation class to the title","ProcessingIndicator","Tue Dec 23 00:59:52 UTC 2025","passed","Tue Dec 23 00:59:52 UTC 2025","","","",""
"Test cases for TestResources_ListADEntityControllables","1","TestResources_ListADEntityControllables","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADEntityControllables","TestResources_ListADEntityControllables"
"Test cases for TestGC_Name","0","TestGC_Name","","Tue Dec 23 00:54:59 UTC 2025","passed","Tue Dec 23 00:54:59 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/gc/TestGC_Name","TestGC_Name"
"","5","does not render highlight for non-active tag","SelectedHighlight","Tue Dec 23 00:58:59 UTC 2025","passed","Tue Dec 23 00:58:59 UTC 2025","","","",""
"Test cases for TestParseKinds","1","TestParseKinds","","Tue Dec 23 00:55:09 UTC 2025","passed","Tue Dec 23 00:55:09 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/TestParseKinds","TestParseKinds"
"","0","succeeds for valid password with unicode characters","testPassword","Tue Dec 23 00:59:51 UTC 2025","passed","Tue Dec 23 00:59:51 UTC 2025","","","",""
"Test cases for TestInt64ValueOrZero","0","TestInt64ValueOrZero","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64ValueOrZero","TestInt64ValueOrZero"
"Test cases for TestDeduplicateKinds","0","TestDeduplicateKinds","","Tue Dec 23 00:55:04 UTC 2025","passed","Tue Dec 23 00:55:04 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/TestDeduplicateKinds","TestDeduplicateKinds"
"","128","should call onCancel when cancel button clicked","LoginViaSSOForm","Tue Dec 23 00:58:24 UTC 2025","passed","Tue Dec 23 00:58:24 UTC 2025","","","",""
"Test cases for TestBuildSQLSort","0","TestBuildSQLSort","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestBuildSQLSort","TestBuildSQLSort"
"Test cases for TestResources_GetAIACAEntityInfo","137","TestResources_GetAIACAEntityInfo","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAIACAEntityInfo","TestResources_GetAIACAEntityInfo"
"Test cases for TestAggregator_Impact","0","TestAggregator_Impact","","Tue Dec 23 00:55:11 UTC 2025","passed","Tue Dec 23 00:55:11 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/impact/TestAggregator_Impact","TestAggregator_Impact"
"","1730","should display search results when the user enters text","AssetGroupEdit","Tue Dec 23 00:58:20 UTC 2025","passed","Tue Dec 23 00:58:21 UTC 2025","","","",""
"","59","returns false on 404","useGraphHasData","Tue Dec 23 00:59:19 UTC 2025","passed","Tue Dec 23 00:59:19 UTC 2025","","","",""
"Test cases for Test_filterNodesToSearchResult_filterEnvironmentsEmpty","0","Test_filterNodesToSearchResult_filterEnvironmentsEmpty","","Tue Dec 23 00:55:02 UTC 2025","passed","Tue Dec 23 00:55:02 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/Test_filterNodesToSearchResult_filterEnvironmentsEmpty","Test_filterNodesToSearchResult_filterEnvironmentsEmpty"
"","248","calls onClose when user clicks cancel","PasswordDialog","Tue Dec 23 00:56:11 UTC 2025","passed","Tue Dec 23 00:56:11 UTC 2025","","","",""
"","275","does not render an edit form for the selected asset group when a user does not have graph write permissions","GroupManagement","Tue Dec 23 01:00:36 UTC 2025","passed","Tue Dec 23 01:00:36 UTC 2025","","","",""
"","108","calls onConfirm when confirm button clicked","EarlyAccessFeaturesWarningDialog","Tue Dec 23 01:01:01 UTC 2025","passed","Tue Dec 23 01:01:01 UTC 2025","","","",""
"","364","renders the Import Query Dialog","ImportQueryDialog","Tue Dec 23 00:59:41 UTC 2025","passed","Tue Dec 23 00:59:41 UTC 2025","","","",""
"","49","sets input text to value","ManagedDatePicker - value","Tue Dec 23 00:57:50 UTC 2025","passed","Tue Dec 23 00:57:50 UTC 2025","","","",""
"","0","returns paramValue as EnvironmentAggregation if paramValue is azure","useEnvironmentParams","Tue Dec 23 00:59:50 UTC 2025","passed","Tue Dec 23 00:59:50 UTC 2025","","parseEnvironmentAggregation","",""
"","155","should show a copy button if the cells text if the cell is not a boolean","ExploreTableDataCell","Tue Dec 23 00:59:10 UTC 2025","passed","Tue Dec 23 00:59:10 UTC 2025","","","",""
"","2","takes updatedParams and current URLSearchParams and returns a function","searchParams","Tue Dec 23 00:58:27 UTC 2025","passed","Tue Dec 23 00:58:27 UTC 2025","","setSingleParamFactory","",""
"Test cases for TestNodeNamePrefix_AppendSuffix","1","TestNodeNamePrefix_AppendSuffix","","Tue Dec 23 00:55:10 UTC 2025","passed","Tue Dec 23 00:55:10 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestNodeNamePrefix_AppendSuffix","TestNodeNamePrefix_AppendSuffix"
"","51","does not render when ruleId is empty","Delete Selector Button rendering","Tue Dec 23 00:59:32 UTC 2025","passed","Tue Dec 23 00:59:32 UTC 2025","","","",""
"","955","renders the form for editing an existing rule","Rule Form","Tue Dec 23 00:56:07 UTC 2025","passed","Tue Dec 23 00:56:08 UTC 2025","","","",""
"","48","links to the specified route with global params intact when triggered by a splat route","AppLink","Tue Dec 23 00:58:09 UTC 2025","passed","Tue Dec 23 00:58:09 UTC 2025","","","",""
"","1316","should render with a full list of multiple tenants and domains","Simple Environment Selector","Tue Dec 23 00:56:07 UTC 2025","passed","Tue Dec 23 00:56:08 UTC 2025","","","",""
"Test cases for TestDomainSelectors_GetFilterableColumns","0","TestDomainSelectors_GetFilterableColumns","","Tue Dec 23 00:55:01 UTC 2025","passed","Tue Dec 23 00:55:01 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetFilterableColumns","TestDomainSelectors_GetFilterableColumns"
"","13","upon performing a search, updates the url params with the base64-encoded current query and sets searchType to 'cypher'","useCypherSearch","Tue Dec 23 00:59:25 UTC 2025","passed","Tue Dec 23 00:59:25 UTC 2025","","","",""
"","439","renders","Details","Tue Dec 23 00:57:02 UTC 2025","passed","Tue Dec 23 00:57:03 UTC 2025","","","",""
"Test cases for TestDurationValidator","0","TestDurationValidator","","Tue Dec 23 00:55:08 UTC 2025","passed","Tue Dec 23 00:55:08 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/validation/TestDurationValidator","TestDurationValidator"
"Test cases for TestFilter","0","TestFilter","","Tue Dec 23 00:55:13 UTC 2025","passed","Tue Dec 23 00:55:13 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestFilter","TestFilter"
"Test cases for TestResources_GetAssetGroupTagMemberCountsByKind","0","TestResources_GetAssetGroupTagMemberCountsByKind","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroupTagMemberCountsByKind","TestResources_GetAssetGroupTagMemberCountsByKind"
"Test cases for Test_NewSpecWithHooks","0","Test_NewSpecWithHooks","","Tue Dec 23 00:55:12 UTC 2025","passed","Tue Dec 23 00:55:12 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_NewSpecWithHooks","Test_NewSpecWithHooks"
"","280","should eventually display list of tokens","UserTokenManagementDialog","Tue Dec 23 00:58:31 UTC 2025","passed","Tue Dec 23 00:58:32 UTC 2025","","","",""
"","1442","a cypher search 404 does not render the GraphViewErrorAlert","GraphView","Tue Dec 23 01:00:43 UTC 2025","passed","Tue Dec 23 01:00:44 UTC 2025","","","",""
"","83","should hide Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is false","CreateUserForm","Tue Dec 23 00:56:26 UTC 2025","passed","Tue Dec 23 00:56:26 UTC 2025","","","",""
"","329","has date range input filters","FileIngestFilterDialog","Tue Dec 23 00:56:33 UTC 2025","passed","Tue Dec 23 00:56:33 UTC 2025","","Date Range Inputs","",""
"Test cases for TestJSONFloat_UnmarshalJSON","0","TestJSONFloat_UnmarshalJSON","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/nan/TestJSONFloat_UnmarshalJSON","TestJSONFloat_UnmarshalJSON"
"","161","should fire Cancel once with false","ConfirmationDialog","Tue Dec 23 00:59:39 UTC 2025","passed","Tue Dec 23 00:59:39 UTC 2025","","","",""
"","56","initializes the list with all filters checked by default","usePathfindingFilters","Tue Dec 23 00:59:18 UTC 2025","passed","Tue Dec 23 00:59:18 UTC 2025","","","",""
"Test cases for TestManagementResource_ListUsers_Filtered","0","TestManagementResource_ListUsers_Filtered","","Tue Dec 23 00:55:01 UTC 2025","passed","Tue Dec 23 00:55:01 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListUsers_Filtered","TestManagementResource_ListUsers_Filtered"
"","102","calls handleFilterChange with all filter types and empty strings when clicked while filters are active","AssetGroupEdit","Tue Dec 23 00:56:51 UTC 2025","passed","Tue Dec 23 00:56:51 UTC 2025","","Clear Filters button","",""
"Test cases for TestSortJSONArrays","1","TestSortJSONArrays","","Tue Dec 23 00:55:08 UTC 2025","passed","Tue Dec 23 00:55:08 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/test/TestSortJSONArrays","TestSortJSONArrays"
"Test cases for TestCORSMiddleware","0","TestCORSMiddleware","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestCORSMiddleware","TestCORSMiddleware"
"Test cases for TestGetPlatformAggregateStats_Success","0","TestGetPlatformAggregateStats_Success","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetPlatformAggregateStats_Success","TestGetPlatformAggregateStats_Success"
"Test cases for TestParseAGMembersFromNodes_MissingNodeProperties","0","TestParseAGMembersFromNodes_MissingNodeProperties","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseAGMembersFromNodes_MissingNodeProperties","TestParseAGMembersFromNodes_MissingNodeProperties"
"","59","clears selected if same note is clicked again","NoteCell component","Tue Dec 23 00:58:36 UTC 2025","passed","Tue Dec 23 00:58:36 UTC 2025","","","",""
"","392","changes the text from ""Disabled"" to ""Enabled"" when the Rule Status switch is toggled","Rule Form","Tue Dec 23 00:56:08 UTC 2025","passed","Tue Dec 23 00:56:09 UTC 2025","","","",""
"Test cases for TestManagementResource_DeleteSAMLProvider","0","TestManagementResource_DeleteSAMLProvider","","Tue Dec 23 00:55:01 UTC 2025","passed","Tue Dec 23 00:55:01 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteSAMLProvider","TestManagementResource_DeleteSAMLProvider"
"","0","returns true if both arrays are empty","areArraysSimilar","Tue Dec 23 00:59:31 UTC 2025","passed","Tue Dec 23 00:59:31 UTC 2025","","","",""
"","3138","Typing in the search bar filters the results","ExploreTable","Tue Dec 23 00:55:51 UTC 2025","passed","Tue Dec 23 00:55:54 UTC 2025","","","",""
"","163","clicking cancel on the form takes the user back to the page the user was on previously","Tag Form","Tue Dec 23 00:55:53 UTC 2025","passed","Tue Dec 23 00:55:54 UTC 2025","","","",""
"","103","button displays ""Enabled"" when flag is enabled","EarlyAccessFeatureToggle","Tue Dec 23 01:00:54 UTC 2025","passed","Tue Dec 23 01:00:54 UTC 2025","","","",""
"","6","uses the discardQueryParams prop to discard all query params on the redirect","AppNavigate","Tue Dec 23 00:58:39 UTC 2025","passed","Tue Dec 23 00:58:39 UTC 2025","","","",""
"","0","does not abbreviate numbers < 1000","numberFormatting","Tue Dec 23 00:59:37 UTC 2025","passed","Tue Dec 23 00:59:37 UTC 2025","","","",""
"","987","should call onSave when Save button is clicked and form input is valid","CreateUserDialog","Tue Dec 23 00:56:21 UTC 2025","passed","Tue Dec 23 00:56:22 UTC 2025","","","",""
"Test cases for TestResources_GetAssetGroup","0","TestResources_GetAssetGroup","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroup","TestResources_GetAssetGroup"
"","7","should render when search string matches text entirely","HighlightedText","Tue Dec 23 00:59:08 UTC 2025","passed","Tue Dec 23 00:59:08 UTC 2025","","","",""
"Test cases for TestResources_ImportSavedQuery","14","TestResources_ImportSavedQuery","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ImportSavedQuery","TestResources_ImportSavedQuery"
"","414","should not allow leading or trailing empty spaces","UpdateUserForm","Tue Dec 23 00:56:00 UTC 2025","passed","Tue Dec 23 00:56:01 UTC 2025","","","",""
"","5814","checking a single edge type updates its parent and grandparent","Pathfinding","Tue Dec 23 00:57:38 UTC 2025","passed","Tue Dec 23 00:57:44 UTC 2025","","","",""
"","71","indicates that filters are active","AssetGroupEdit","Tue Dec 23 00:56:50 UTC 2025","passed","Tue Dec 23 00:56:50 UTC 2025","","","",""
"","571","should fire Confirm once with true after typing challenge text","DeleteConfirmationDialog","Tue Dec 23 00:59:21 UTC 2025","passed","Tue Dec 23 00:59:22 UTC 2025","","","",""
"Test cases for Test_UseHarness","0","Test_UseHarness","","Tue Dec 23 00:55:12 UTC 2025","passed","Tue Dec 23 00:55:12 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_UseHarness","Test_UseHarness"
"","30","displays lastlogon cell as UNKNOWN when the value is 0","ExploreTableDataCell","Tue Dec 23 00:59:10 UTC 2025","passed","Tue Dec 23 00:59:10 UTC 2025","","","",""
"Test cases for TestManagementResource_UpdateUser_LookupActiveSessionsError","687","TestManagementResource_UpdateUser_LookupActiveSessionsError","","Tue Dec 23 00:55:14 UTC 2025","passed","Tue Dec 23 00:55:15 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_LookupActiveSessionsError","TestManagementResource_UpdateUser_LookupActiveSessionsError"
"Test cases for TestRoleAssignments_UsersWithoutRoles","0","TestRoleAssignments_UsersWithoutRoles","","Tue Dec 23 00:55:11 UTC 2025","passed","Tue Dec 23 00:55:11 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/azure/TestRoleAssignments_UsersWithoutRoles","TestRoleAssignments_UsersWithoutRoles"
"Test cases for TestManagementResource_DeleteUser_DeleteUserError","688","TestManagementResource_DeleteUser_DeleteUserError","","Tue Dec 23 00:55:16 UTC 2025","passed","Tue Dec 23 00:55:17 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteUser_DeleteUserError","TestManagementResource_DeleteUser_DeleteUserError"
"Test cases for TestTagScanner_NextTopLevelTag","0","TestTagScanner_NextTopLevelTag","","Tue Dec 23 00:55:05 UTC 2025","passed","Tue Dec 23 00:55:05 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/upload/TestTagScanner_NextTopLevelTag","TestTagScanner_NextTopLevelTag"
"","60","when session token or user are null, redirects to /login","AuthenticatedRoute","Tue Dec 23 01:00:48 UTC 2025","passed","Tue Dec 23 01:00:48 UTC 2025","","","",""
"","268","should display ""Cancel"" button","Enable2FADialog","Tue Dec 23 00:58:31 UTC 2025","passed","Tue Dec 23 00:58:32 UTC 2025","","","",""
"","8","when there is no ID in the URL and no tags available, no ID is returned (it is undefined)","usePZQueryParams","Tue Dec 23 00:58:03 UTC 2025","passed","Tue Dec 23 00:58:03 UTC 2025","","","",""
"Test cases for TestIntSetValid","0","TestIntSetValid","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntSetValid","TestIntSetValid"
"Test cases for TestResources_ListADComputerSessions","0","TestResources_ListADComputerSessions","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADComputerSessions","TestResources_ListADComputerSessions"
"","143","Searching for existing node type returns node properties","useFetchEntityProperties","Tue Dec 23 00:58:44 UTC 2025","passed","Tue Dec 23 00:58:45 UTC 2025","","","",""
"Test cases for TestNewAuditLog_BadAuthContext","0","TestNewAuditLog_BadAuthContext","","Tue Dec 23 00:54:59 UTC 2025","passed","Tue Dec 23 00:54:59 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestNewAuditLog_BadAuthContext","TestNewAuditLog_BadAuthContext"
"","239","calls the onReset prop when the crop button is clicked","GraphControls","Tue Dec 23 00:56:29 UTC 2025","passed","Tue Dec 23 00:56:30 UTC 2025","","Resetting graph","",""
"Test cases for TestConvertOUToNode_InheritanceHashes","0","TestConvertOUToNode_InheritanceHashes","","Tue Dec 23 00:55:11 UTC 2025","passed","Tue Dec 23 00:55:11 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertOUToNode_InheritanceHashes","TestConvertOUToNode_InheritanceHashes"
"","11","does not call onSort when disable=true","ColumnHeaders","Tue Dec 23 00:58:56 UTC 2025","passed","Tue Dec 23 00:58:56 UTC 2025","","SortableHeader","",""
"Test cases for TestIngestJobs_IsSortable","0","TestIngestJobs_IsSortable","","Tue Dec 23 00:55:01 UTC 2025","passed","Tue Dec 23 00:55:01 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestIngestJobs_IsSortable","TestIngestJobs_IsSortable"
"","125","should render tag to Label content","TagToZoneLabelDialog","Tue Dec 23 00:58:02 UTC 2025","passed","Tue Dec 23 00:58:02 UTC 2025","","","",""
"Test cases for TestFloatScan","0","TestFloatScan","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatScan","TestFloatScan"
"Test cases for TestResources_GetAssetGroupMemberCount_Success","0","TestResources_GetAssetGroupMemberCount_Success","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroupMemberCount_Success","TestResources_GetAssetGroupMemberCount_Success"
"","214","toggles parent from some to all","SourceKindsCheckboxes","Tue Dec 23 00:57:24 UTC 2025","passed","Tue Dec 23 00:57:24 UTC 2025","","","",""
"","521","handles creating a new rule","Rule Form","Tue Dec 23 00:56:12 UTC 2025","passed","Tue Dec 23 00:56:12 UTC 2025","","","",""
"","54","should style the powered-by to display when nav is expanded","MainNav","Tue Dec 23 00:56:35 UTC 2025","passed","Tue Dec 23 00:56:35 UTC 2025","","","",""
"","90","List Display Roles Hook is Loading","useListDisplayRoles","Tue Dec 23 00:56:30 UTC 2025","passed","Tue Dec 23 00:56:30 UTC 2025","","","",""
"","89","displays active styles for the selected layout when explore table is enabled","GraphControls","Tue Dec 23 00:56:32 UTC 2025","passed","Tue Dec 23 00:56:32 UTC 2025","","Selecting a layout","",""
"","117","renders a graph view","GraphView","Tue Dec 23 01:00:43 UTC 2025","passed","Tue Dec 23 01:00:43 UTC 2025","","","",""
"","37","passes data to testing component","SavedQueriesProvider","Tue Dec 23 00:59:33 UTC 2025","passed","Tue Dec 23 00:59:34 UTC 2025","","","",""
"Test cases for TestParseHeaderValues","0","TestParseHeaderValues","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestParseHeaderValues","TestParseHeaderValues"
"","262","displays expected results when searching by label","SearchCurrentNodes","Tue Dec 23 00:58:15 UTC 2025","passed","Tue Dec 23 00:58:16 UTC 2025","","","",""
"Test cases for Test_NewRequestSignature","0","Test_NewRequestSignature","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/Test_NewRequestSignature","Test_NewRequestSignature"
"","1957","hides the password field and removes the requirement when logged in with SSO","Users","Tue Dec 23 00:57:19 UTC 2025","passed","Tue Dec 23 00:57:21 UTC 2025","","","",""
"Test cases for Test_filterNodesToSearchResult_filterEnvironments_tenantIDFail","0","Test_filterNodesToSearchResult_filterEnvironments_tenantIDFail","","Tue Dec 23 00:55:02 UTC 2025","passed","Tue Dec 23 00:55:02 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/Test_filterNodesToSearchResult_filterEnvironments_tenantIDFail","Test_filterNodesToSearchResult_filterEnvironments_tenantIDFail"
"","751","should initiate data loading when an item is selected","Simple Environment Selector","Tue Dec 23 00:56:08 UTC 2025","passed","Tue Dec 23 00:56:09 UTC 2025","","","",""
"","79","skips undefined items gracefully","<DetailsAccordion />","Tue Dec 23 00:56:39 UTC 2025","passed","Tue Dec 23 00:56:39 UTC 2025","","","",""
"Test cases for TestManagementResource_ListRoles_Filtered","0","TestManagementResource_ListRoles_Filtered","","Tue Dec 23 00:55:01 UTC 2025","passed","Tue Dec 23 00:55:01 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListRoles_Filtered","TestManagementResource_ListRoles_Filtered"
"","1917","requires a password to disable MFA for a user when logged in without SSO","Users","Tue Dec 23 00:57:17 UTC 2025","passed","Tue Dec 23 00:57:19 UTC 2025","","","",""
"","3","should return true when tag partially matches term","OperationsFilterPlugin","Tue Dec 23 00:59:58 UTC 2025","passed","Tue Dec 23 00:59:58 UTC 2025","","","",""
"","52","composes search params from the search prop and use them in the link","AppLink","Tue Dec 23 00:58:09 UTC 2025","passed","Tue Dec 23 00:58:09 UTC 2025","","","",""
"","1","handles null or empty madeBy","createHistoryParams","Tue Dec 23 00:58:56 UTC 2025","passed","Tue Dec 23 00:58:56 UTC 2025","","","",""
"Test cases for TestStringEqual","0","TestStringEqual","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringEqual","TestStringEqual"
"Test cases for Test_FixtureTeardown","0","Test_FixtureTeardown","","Tue Dec 23 00:55:12 UTC 2025","passed","Tue Dec 23 00:55:12 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_FixtureTeardown","Test_FixtureTeardown"
"Test cases for TestConvertContainerToNode_InheritanceHashes","0","TestConvertContainerToNode_InheritanceHashes","","Tue Dec 23 00:55:11 UTC 2025","passed","Tue Dec 23 00:55:11 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertContainerToNode_InheritanceHashes","TestConvertContainerToNode_InheritanceHashes"
